ID;Name;Family;Log P;Accessible Area;Volume;COOH;Num OH;F3-OH;F-5OH;F6-OH;F7-OH;F13-OH;F14-OH;Cm6-OH;Cm7-OH;Ck3-N;Ck7-N;Ck-OH;Cn2-OH;Cn3-OH;Cn4-OH;UGT71C1;UGT71C2;UGT71C3;UGT71C4;UGT71C5;UGT71B8;UGT71B6;UGT71B5;UGT71B1;UGT88A1;UGT72E2;UGT72E3;UGT72E1;UGT72D1;UGT72C1;UGT72B3;UGT72B1;UGT73C3;UGT73C4;UGT73C5;UGT73C6;UGT73C1;UGT73C7;UGT73B2;UGT73B3;UGT73B4;UGT73B5;UGT73B1;UGT89B1;UGT89C1;UGT84A3;UGT84A4;UGT84A2;UGT84A1;UGT84B1;UGT84B2;UGT75B1;UGT75D1;UGT74F1;UGT74F2;UGT74B1;UGT76E5;UGT76E4;UGT76E1;UGT76E2;UGT76E12;UGT76E11;UGT76C4;UGT85A5;UGT85A4;UGT78D2;UGT78D1;VVGT1
23; Kaempferol;1;3.57;472.613;199.522;0;4;9.1;6.93;0;8.16;0;10.42;;;;;;;;;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Cinnamic acid;4;2.13;343.771;119.786;3.88;0;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;4-hydroxy cinnamic acid;4;1.46;356.244;126.853;4.1;1;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;1;1;1;1;0;1;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;3,4-dihyroxy cinnamic acid;4;1.15;366.128;133.349;4.04;2;;;;;;;;;;;;;9.84;12.79;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;4-hydroxy 3-methoxy cinnamic acid;4;1.51;400.427;150.267;4.04;1;;;;;;;;;;;;;;10.22;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;1;1;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2-hydroxy cinnamic acid;4;2.43;349.587;125.083;3.94;1;;;;;;;;;;;;10.33;;;1;1;1;1;0;1;0;0;1;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;1;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;3-hydroxy cinnamic acid;4;1.83;356.005;126.748;3.82;1;;;;;;;;;;;;;10;;0;0;0;2;0;2;0;0;0;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;7-hydroxy 6-methoxy coumarin (Scopoletin);2;1.28;370.949;138.956;0;1;;;;;;;0;9.14;;;;;;;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1;1;3;1;1;1;1;1;0;1;2;1;1;0;1;2;2;1;1;2;0;1;1;2;1;1;0;0;0;1;3;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;6,7-dihydroxy coumarin (Esculetin);2;0.98;336.533;121.938;0;2;;;;;;;11.8;8.96;;;;;;;2;1;1;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;0;1;1;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;1;2;1;1;1;0;2;1;2;1;1;1;0;0;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Threonine;11;-2.94;260.528;79.922;2.19;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Glucose;11;-1.88;346.92;142.962;0;2;;;;;;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Dihydrojasmonic acid;6;2.03;459.55;217.611;4.52;2;;;;;;;;;;;;;;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Ser-Phe;11;0.04;437.676;176.107;3.37;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Ser-Leu;11;-0.4;410.041;154.436;3.13;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;BocCysThrOMe;11;1.5;531.147;228.386;0;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine;11;-0.92;482.6;226.395;0;3;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;MUGlcNAc;11;0.33;620.393;302.933;0;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Trans-dihydroquercetin (DHQ);1;0.95;493.665;216.798;0;5;11.9;7.4;0;8.4;9.48;12.3;;;;;;;;;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;3;1;0;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;2;0;0;0;2;0;0;0;0;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;7-hydroxycoumerin 3-carboxylic acid;2;1.55;367.065;138.068;2.07;1;;;;;;;0;9.31;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;7-hydroxycoumerin 4-acetic acid;2;1.52;392.889;157.45;4.24;1;;;;;;;0;9.1;;;;;;;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Chloramphenicol;11;1.02;500.618;233.412;0;2;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;?-GlcOBn;11;-0.71;503.054;224.132;0;4;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;a-ManOBn;11;-0.71;503.046;223.414;0;4;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;3;0;0;0;0;0;3;0;0;0;2;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
